sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2013-09-18;270,900;271,300;272,000;272,700;268,400;271,300;270,372;18955;5124897,1;158;
2013-09-17;271,700;272,000;272,400;272,400;270,300;272,000;271,557;10141;2753856,2;88;
2013-09-16;272,000;272,400;272,600;273,000;271,000;272,400;271,958;10481;2850395,35;145;
2013-09-13;270,600;271,200;272,500;272,500;270,200;270,600;271,150;13720;3720172,1;147;
2013-09-12;272,100;272,500;275,000;275,000;271,900;272,500;273,156;13387;3656740,3;122;
2013-09-11;274,600;275,200;276,200;277,300;274,500;275,200;275,907;15699;4331466,2;125;
2013-09-10;276,400;276,900;273,600;277,300;273,400;276,400;275,523;13836;3812131,3;362;
2013-09-09;272,100;272,700;272,900;273,000;271,200;272,100;272,168;16033;4363673,4;107;
2013-09-06;272,200;272,900;272,900;272,900;270,500;272,200;271,843;10986;2986472;108;
2013-09-05;272,900;273,200;273,500;275,700;272,600;272,900;273,799;16211;4438554,9;97;
2013-09-04;274,000;274,500;276,500;276,500;272,000;274,000;273,809;8325;2279461,9;101;
2013-09-03;275,300;276,000;274,900;276,900;273,200;276,000;275,279;10458;2878869,8;87;
2013-09-02;275,000;275,200;272,000;275,900;272,000;275,200;274,415;7587;2081983,8;66;
2013-08-30;270,500;271,300;273,600;273,600;269,600;270,500;271,241;19643;5327985,9;104;
2013-08-29;273,100;273,600;274,100;274,100;271,300;273,600;273,053;16403;4478883,2;101;
2013-08-28;272,800;272,900;269,000;273,200;269,000;272,900;271,436;15986;4339179,3;103;
2013-08-27;270,400;271,400;274,000;274,000;268,300;270,400;270,327;31185;8430159,4;193;
2013-08-26;274,300;275,000;277,600;277,600;272,000;275,000;274,311;19156;5254691,5;149;
2013-08-23;277,200;278,200;278,300;278,800;275,500;277,200;277,167;21559;5975439,6;122;
2013-08-22;277,600;278,200;278,500;281,000;277,000;278,200;278,186;32058;8918077,8;177;
2013-08-21;279,000;279,300;286,000;286,500;277,000;279,300;281,421;16761;4716892,2;118;
2013-08-20;285,400;285,900;288,300;288,300;283,400;285,900;285,863;11857;3389474,8;83;
2013-08-19;288,700;289,200;291,100;291,100;287,800;288,700;288,917;7275;2101873,8;59;
2013-08-16;289,600;290,000;287,000;291,700;286,700;290,000;289,387;9106;2635161,3;56;
2013-08-15;288,100;288,900;291,700;291,700;287,000;289,300;288,836;7726;2231543,7;64;
2013-08-14;290,100;291,100;291,000;291,600;288,500;291,100;290,421;8463;2457836,4;69;
2013-08-13;290,000;290,100;295,000;295,000;290,000;290,100;291,337;12567;3661236,1;84;
2013-08-12;292,700;294,000;294,400;295,500;293,000;294,000;294,206;25702;7561677,3;126;
2013-08-09;293,100;294,400;293,800;296,000;293,100;293,100;294,483;11436;3367711,7;106;
2013-08-08;292,800;293,700;290,000;294,600;289,900;293,700;292,700;16473;4821647,5;102;
2013-08-07;289,200;290,500;286,200;290,600;286,200;289,200;288,465;7710;2224067,6;74;
2013-08-06;286,200;287,800;290,000;291,100;286,200;286,200;289,981;18911;5483831,8;136;
2013-08-05;289,200;290,100;290,000;291,400;289,000;290,100;290,285;12425;3606789,2;93;
2013-08-02;289,600;290,800;288,100;291,900;288,100;289,600;290,613;22224;6458588,5;130;
2013-08-01;287,100;288,100;285,000;288,100;284,800;288,100;286,901;18357;5266646,6;90;
2013-07-31;283,200;283,400;284,000;286,400;283,200;283,200;284,815;25410;7237151,4;97;
2013-07-30;284,200;284,700;283,400;285,000;283,100;284,200;283,937;3239;919670,2;41;
2013-07-29;281,800;283,300;284,000;284,500;282,000;283,300;283,423;1983;562028,2;29;
2013-07-26;282,900;283,900;284,600;286,400;282,600;283,900;284,264;12260;3485082,1;78;
2013-07-25;283,500;284,500;281,600;284,500;280,600;284,500;282,542;12637;3570476,8;67;
2013-07-24;281,600;282,600;279,800;282,700;279,500;281,600;281,735;14431;4065719;83;
2013-07-23;278,000;278,800;277,700;279,900;277,700;278,000;278,857;5735;1599243,6;53;
2013-07-22;277,400;277,700;277,600;279,900;277,200;277,700;278,120;12677;3525729,3;78;
2013-07-19;277,600;278,000;270,000;278,000;270,000;278,000;275,573;20140;5550040,8;120;
2013-07-18;270,600;270,900;271,600;271,600;267,000;270,600;269,216;11958;3219286,9;75;
2013-07-17;266,300;267,300;278,300;278,300;267,000;267,300;270,662;30684;8304994,6;236;
2013-07-16;274,200;274,900;276,000;277,000;273,600;274,200;275,574;17586;4846252,1;103;
2013-07-15;274,700;275,600;278,900;280,000;274,800;274,900;277,280;24412;6768957,3;115;
2013-07-12;275,500;277,100;273,900;278,000;273,900;277,100;276,872;18999;5262516,8;68;
2013-07-11;275,100;275,500;270,500;275,500;269,500;275,500;274,012;10593;2902612,5;79;
2013-07-10;269,500;269,900;271,000;272,100;268,900;269,900;269,973;4492;1212718,2;44;
2013-07-09;271,000;272,100;272,000;273,400;269,300;272,100;271,275;15270;4142371,5;87;
2013-07-08;271,000;271,900;270,800;272,800;269,300;271,000;271,865;6528;1774737;53;
2013-07-05;268,600;268,800;269,500;273,000;268,700;268,800;271,008;14320;3880829,5;91;
2013-07-04;269,300;269,500;262,000;270,000;262,000;269,300;265,792;16322;4338255,9;94;
2013-07-03;261,200;261,800;263,500;263,500;257,700;261,200;260,796;8827;2302043;79;
2013-07-02;261,300;262,400;262,200;262,700;259,800;261,300;261,040;5165;1348272,4;39;
2013-07-01;262,700;263,000;260,000;262,600;257,900;262,600;259,781;12534;3256094,6;88;
2013-06-28;257,500;257,900;259,600;262,000;257,500;257,500;259,207;18266;4738506,3;81;
