sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2016-01-08;78,250;78,300;77,800;79,200;77,650;78,200;78,475;7105833;557659209,2;6457;
2016-01-07;77,600;77,650;77,500;77,950;75,350;77,500;76,833;14676629;1127110592,98;10147;
2016-01-05;79,600;79,650;81,250;81,400;79,450;79,600;80,321;3646024;293029559,45;2976;
2016-01-04;79,400;79,500;81,000;81,000;79,250;79,500;79,922;6655286;531906564,6;6057;
2015-12-30;82,550;82,600;82,750;83,200;82,000;82,300;82,577;6706639;553812984,63;5282;
2015-12-29;82,400;82,500;81,700;82,700;81,650;82,600;82,303;41376570;3357632075,12;4427;
2015-12-28;81,400;81,500;81,700;82,500;81,400;81,500;81,711;4180487;341689575,88;4121;
2015-12-23;82,100;82,150;80,500;82,250;80,500;82,200;81,719;6638735;549295231,69;5311;
2015-12-22;80,250;80,300;81,250;82,050;80,050;80,150;80,670;9036390;728984197,83;8014;
2015-12-21;81,150;81,250;82,000;85,000;80,950;80,950;82,889;14389470;1193375390,9;14210;
2015-12-18;78,550;78,600;78,200;79,350;78,050;78,650;78,619;8015785;630185153,78;5527;
2015-12-17;79,000;79,100;79,250;79,900;78,700;78,900;79,186;7835447;620614778,48;6113;
2015-12-16;78,000;78,050;77,050;79,250;76,850;78,100;78,070;8072405;630210589,42;6922;
2015-12-15;76,550;76,600;75,700;76,800;75,300;76,650;76,339;8055731;614964042,5;6498;
2015-12-14;75,300;75,350;76,800;77,400;75,300;75,350;76,043;9570214;728062054,34;7366;
2015-12-11;76,750;76,850;77,700;77,750;76,300;76,500;76,972;10713745;824656663,69;9354;
2015-12-10;77,900;77,950;78,100;78,900;77,550;77,800;78,022;7060548;550983064,01;6179;
2015-12-09;78,600;78,650;79,800;80,050;77,700;78,300;78,686;10652366;840956499,58;8614;
2015-12-08;79,950;80,000;82,400;82,500;79,900;79,900;80,640;8895619;717248905,98;7015;
2015-12-07;82,500;82,600;82,100;83,000;82,050;82,600;82,620;6454152;533241927,25;5559;
2015-12-04;81,650;81,700;82,550;82,800;81,050;81,600;81,695;8146340;665508874,84;7276;
2015-12-03;83,050;83,100;83,350;85,200;82,850;82,850;83,892;11860075;994681955,82;9395;
2015-12-02;83,800;83,900;82,950;84,000;82,550;83,550;83,423;8239009;687356819,96;6706;
2015-12-01;82,800;82,850;84,600;84,750;82,350;82,950;83,329;10380767;865115233,68;8706;
2015-11-30;85,100;85,150;84,000;85,200;83,550;84,950;84,763;10878229;922105984,83;5464;
2015-11-27;84,000;84,100;84,000;84,800;83,750;83,950;84,158;4708365;396247995,93;5068;
2015-11-26;0;0;82,850;84,650;82,500;84,400;83,930;6299022;528620845,41;5200;
2015-11-25;82,750;82,800;82,300;82,850;82,000;82,800;82,476;6576160;542109899,61;4903;
2015-11-24;82,550;82,650;82,800;82,950;82,200;82,450;82,608;38827684;3168679033,12;5620;
2015-11-23;82,850;82,900;82,500;83,100;82,250;82,850;82,671;4827760;399191771,14;3769;
2015-11-20;82,900;82,950;82,350;83,100;81,750;82,950;82,655;7143541;590450677,07;6164;
2015-11-19;81,700;81,750;83,150;83,250;81,350;81,900;82,384;8184630;674282660,05;7268;
2015-11-18;82,700;82,750;83,500;83,900;82,550;82,850;83,062;6390068;530770054,23;4919;
2015-11-17;83,450;83,550;83,000;83,700;82,800;83,500;83,381;8781150;732190636,53;7291;
2015-11-16;82,500;82,550;80,000;82,950;79,500;82,100;81,697;17132017;1399621439,14;12966;
2015-11-13;79,400;79,450;80,100;80,300;78,550;79,400;79,366;8523463;676564454,92;8114;
2015-11-12;80,400;80,450;81,950;82,000;80,100;80,450;80,837;7502525;606482922,24;7407;
2015-11-11;81,850;81,900;81,750;82,300;81,300;81,900;81,843;8911416;729339150,66;8247;
2015-11-10;81,500;81,550;86,900;86,900;81,400;81,550;82,806;17118508;1418908869,7;14689;
2015-11-09;86,900;86,950;86,500;88,400;85,900;86,900;87,330;11576414;1010951950,56;9124;
2015-11-06;85,300;85,350;85,650;86,100;84,650;85,300;85,298;5968632;509116821,1;4967;
2015-11-05;85,600;85,650;86,350;86,400;85,200;85,600;85,748;8031175;688872805,74;5201;
2015-11-04;86,200;86,250;85,000;86,900;84,950;86,250;86,233;9649330;830892229,49;6544;
2015-11-03;84,550;84,600;83,200;84,700;83,150;84,550;84,190;6521649;549059108,79;5234;
2015-11-02;82,750;82,800;81,000;84,150;81,000;82,750;82,871;8245795;683479890,72;6850;
2015-10-30;83,300;83,400;83,050;84,400;83,050;83,350;83,667;4402560;368349183,14;3282;
2015-10-29;83,000;83,050;81,600;83,500;81,100;83,000;82,701;9404064;777720939,58;7183;
2015-10-28;81,150;81,250;81,100;81,400;80,450;81,250;81,002;5603597;453901194,77;5438;
2015-10-27;80,850;80,900;83,250;83,250;80,800;80,900;81,719;9724937;795373558,85;7140;
2015-10-26;83,400;83,450;83,450;84,200;81,400;83,400;83,347;9705381;808933568,93;9181;
2015-10-23;83,000;83,050;84,800;84,950;81,000;83,000;83,002;23554144;1954438436,69;18680;
2015-10-22;88,250;88,300;86,150;88,300;85,450;88,300;87,248;6943266;605764225,73;5963;
2015-10-21;86,550;86,600;85,950;86,950;85,400;86,550;86,353;4269273;368664969,78;3466;
2015-10-20;85,800;85,900;86,350;86,700;84,900;85,850;85,782;8471439;727930875,53;4837;
2015-10-19;86,200;86,250;86,800;87,250;85,800;86,250;86,437;4936774;426696540,88;4047;
2015-10-16;86,750;86,800;86,900;87,050;85,950;86,750;86,633;6524958;565036195,63;5565;
2015-10-15;86,250;86,300;84,500;86,400;84,350;86,300;85,850;6764618;580666713,28;5414;
2015-10-14;83,600;83,650;84,250;84,700;83,550;83,600;84,038;4424616;371837677,51;3731;
2015-10-13;84,750;84,850;86,600;86,650;84,650;84,750;85,199;5702238;485829622,82;4941;
2015-10-12;86,500;86,550;86,500;87,300;85,800;86,500;86,472;4201748;363332471,71;3629;
2015-10-09;86,450;86,500;87,100;87,150;85,750;86,500;86,567;6410602;554947031,33;5431;
2015-10-08;86,350;86,400;84,850;86,400;84,850;86,400;85,845;8321116;714322118,69;5498;
2015-10-07;85,000;85,050;85,300;86,250;84,800;85,050;85,406;6287038;536951251,67;5345;
2015-10-06;84,950;85,000;84,650;85,750;84,150;84,950;84,941;5616528;477071878,42;5530;
2015-10-05;84,600;84,650;83,100;84,700;82,850;84,650;84,193;6339616;533744681,04;5222;
2015-10-02;81,850;81,900;82,000;83,250;80,550;81,850;82,020;7430364;609437666,38;5701;
2015-10-01;81,250;81,300;82,800;83,450;80,850;81,300;82,030;7592780;622853541,68;5929;
2015-09-30;82,200;82,250;80,600;82,600;80,100;82,200;81,734;8507569;695410798,61;6478;
2015-09-29;79,200;79,250;77,650;79,600;77,500;79,250;78,829;7003264;552060445,28;6494;
2015-09-28;78,800;78,850;80,650;80,800;78,800;78,800;79,459;5638140;448013267,47;4900;
2015-09-25;81,050;81,100;79,200;81,350;79,200;81,100;80,809;8767538;708085382,02;6654;
2015-09-24;77,850;77,900;78,900;79,700;77,850;77,850;78,540;8445105;663280449,7;6715;
2015-09-23;78,850;78,900;78,200;79,350;77,600;78,900;78,676;5224262;411022088,8;4563;
2015-09-22;78,400;78,450;78,950;79,400;77,700;78,400;78,500;36064592;3001915978,725;7535;
2015-09-21;78,700;78,750;78,000;79,050;77,550;78,750;78,385;6287931;497491545,6;5279;
2015-09-18;78,250;78,300;80,300;80,400;78,250;78,300;78,693;11857843;933141765,65;8405;
2015-09-17;80,900;80,950;80,650;81,300;80,400;80,900;80,861;5990564;484401199,95;5295;
2015-09-16;80,350;80,400;80,950;81,450;80,050;80,400;80,617;6286206;506702411,525;4194;
2015-09-15;80,250;80,300;80,900;81,200;79,600;80,250;80,251;6506504;522253104,575;5198;
2015-09-14;80,900;80,950;81,600;81,700;80,550;80,900;80,952;6845661;554239654,3;4009;
2015-09-11;81,700;81,750;82,350;82,450;81,550;81,750;81,897;4347731;356066886,55;3307;
2015-09-10;82,100;82,150;82,100;82,950;81,450;82,150;82,170;6983646;573588852,35;4578;
2015-09-09;83,000;83,050;83,850;84,800;82,900;83,050;83,766;7179689;601413218,9;5811;
2015-09-08;82,450;82,500;82,150;82,850;81,800;82,450;82,477;4923294;406055186,25;4104;
2015-09-07;81,500;81,550;81,500;81,950;81,050;81,500;81,455;3099530;252285382,725;2817;
2015-09-04;80,750;80,800;82,700;82,900;80,650;80,750;81,458;7558436;615573015,45;6622;
2015-09-03;83,400;83,450;81,550;84,100;81,000;83,450;82,864;7043892;583682842,925;6284;
2015-09-02;80,700;80,750;81,400;82,000;80,050;80,750;80,893;4971310;402143455,8;5640;
2015-09-01;80,900;80,950;81,650;81,800;80,450;80,950;81,060;8252515;668919305,65;6833;
2015-08-31;82,500;82,550;83,400;83,450;81,550;82,550;82,513;5978466;493300363,15;4727;
2015-08-28;83,500;83,550;83,900;83,950;82,400;83,550;83,200;4556765;379123557,875;3925;
2015-08-27;83,700;83,750;83,150;84,250;82,600;83,700;83,585;10377354;867390657,35;8803;
2015-08-26;81,050;81,200;80,900;83,600;79,800;81,050;81,618;12065142;984736177;10614;
2015-08-25;81,750;81,800;80,050;82,600;79,650;81,800;81,166;13667853;1115650790;11024;
2015-08-24;78,900;78,950;80,350;81,500;77,450;78,900;79,403;17300354;1373820247,375;13336;
2015-08-21;83,200;83,250;83,600;84,300;83,100;83,200;83,629;10866369;908746803,125;7255;
2015-08-20;84,550;84,600;86,200;86,750;84,150;84,550;85,323;7714678;658267655,05;6319;
2015-08-19;86,500;86,550;89,200;89,450;86,450;86,500;87,364;10787044;943718145,3;5037;
2015-08-18;89,500;89,550;88,350;89,850;87,700;89,500;89,069;6323092;563188195,475;5031;
2015-08-17;88,550;88,650;88,450;88,850;87,750;88,550;88,349;5304108;468589857,854;3916;
2015-08-14;88,050;88,150;88,300;88,800;87,700;88,050;88,129;5834974;514228036,975;4861;
2015-08-13;88,400;88,500;88,300;88,950;87,850;88,500;88,469;6201309;548572794,825;5109;
2015-08-12;86,550;86,600;88,850;88,850;86,350;86,550;87,271;12137760;1059296114,55;9171;
2015-08-11;89,000;89,050;91,200;91,500;89,000;89,000;89,756;8335884;748207197,425;5721;
2015-08-10;91,750;91,800;90,100;91,800;89,050;91,800;90,905;7053524;641192776;5603;
2015-08-07;89,500;89,550;90,650;90,700;89,450;89,500;89,890;5314548;477733455,65;4201;
2015-08-06;90,800;90,850;91,850;91,850;90,700;90,800;91,140;4168413;379908626,5;3527;
2015-08-05;91,900;91,950;90,800;92,050;90,800;91,950;91,608;4463516;408896345,075;3547;
2015-08-04;90,600;90,650;91,500;91,600;90,550;90,600;90,949;5988923;544689719,625;5129;
2015-08-03;91,750;91,800;91,900;92,100;91,250;91,800;91,662;4389585;402362355,075;3401;
2015-07-31;92,300;92,350;92,300;92,650;91,350;92,300;92,104;4466867;411421900,875;3979;
2015-07-30;91,850;91,900;92,000;92,900;91,050;91,900;91,899;5863609;538859793,5;4706;
2015-07-29;91,000;91,050;91,150;91,750;90,450;91,050;91,007;4170301;379522584,475;3720;
2015-07-28;90,750;90,800;91,950;91,950;90,650;90,750;91,119;6126772;558269931,4;5338;
2015-07-27;91,750;91,800;92,700;93,000;91,450;91,800;92,010;5177466;476381428,325;4405;
2015-07-24;93,100;93,150;92,950;94,600;92,900;93,100;93,603;5295014;495626880,775;4507;
2015-07-23;93,000;93,050;94,300;94,300;92,250;93,050;93,052;5705886;530942718,05;4518;
2015-07-22;93,200;93,250;93,900;94,200;93,100;93,200;93,589;6756741;636829439,525;6109;
2015-07-21;94,550;94,600;94,850;95,650;94,350;94,600;94,912;8133526;774795967,4;5813;
2015-07-20;94,750;94,800;93,750;95,400;93,700;94,800;94,814;8295219;786283751,575;6767;
2015-07-17;93,350;93,400;94,500;96,400;93,250;93,350;94,701;17205204;1629333465,95;13231;
2015-07-16;90,250;90,300;89,100;91,250;88,750;90,300;90,292;10017067;904470384,35;7033;
2015-07-15;88,450;88,500;89,450;89,600;88,300;88,500;88,695;5256612;466236847,725;4385;
2015-07-14;89,250;89,300;89,150;89,450;88,550;89,250;88,989;4874704;433795496,25;4596;
2015-07-13;89,450;89,550;89,000;89,750;88,750;89,550;89,401;6506967;581731838,125;5625;
2015-07-10;88,450;88,500;88,550;89,550;87,900;88,500;88,622;8247128;730886973,925;6754;
2015-07-09;86,900;86,950;86,100;87,300;86,000;86,950;86,829;4759827;413288860,665;4084;
2015-07-08;85,850;85,900;85,350;86,450;84,600;85,850;85,566;6674875;571143408,95;5616;
2015-07-07;84,950;85,000;86,250;86,700;84,750;84,950;85,523;8788897;751657512,35;7860;
2015-07-06;85,500;85,600;85,600;86,500;84,750;85,500;85,640;9477818;811759230,21;6858;
2015-07-03;86,750;86,850;87,650;88,000;86,600;86,750;87,118;3708855;323108303,275;3171;
2015-07-02;87,400;87,450;87,750;88,150;87,100;87,400;87,625;7156156;627057405,7;5666;
2015-07-01;87,900;87,950;86,300;88,900;86,050;87,900;87,610;10511791;920942151,575;9628;
2015-06-30;85,900;85,950;87,850;87,950;85,850;85,900;86,472;14909347;1289251159,85;11797;
2015-06-29;88,000;88,050;87,800;89,300;87,000;88,000;88,358;10107870;893110578,4;9224;
2015-06-26;90,700;90,750;90,150;90,950;89,250;90,700;90,402;6364179;575337067,439;5472;
2015-06-25;90,450;90,500;89,800;91,300;89,750;90,450;90,404;10151488;917742159,125;8676;
2015-06-24;90,750;90,800;93,000;93,300;90,750;90,750;91,708;11891500;1091653111,125;9112;
2015-06-23;92,950;93,000;91,500;93,550;91,200;93,000;92,764;30168389;2952271728,025;6940;
2015-06-22;90,950;91,000;91,200;91,550;90,100;91,000;90,684;9160325;830808387,85;7776;
2015-06-18;89,000;89,050;90,000;90,100;87,950;89,050;88,854;10219377;908085065,75;8122;
2015-06-17;90,150;90,200;91,700;91,800;89,850;90,200;90,534;6933570;627723014,3;6183;
2015-06-16;91,500;91,550;90,450;92,100;89,550;91,550;91,101;10059389;916691794,6;7607;
2015-06-15;90,750;90,800;91,750;91,900;90,050;90,800;90,792;8450031;767184475,275;7061;
